No.	Pokémon	Entry	Bucket	Weight	Lv. Min	Lv. Max	Biomes	Excluded Biomes	Time	Weather	Multipliers	Context	Presets	Conditions	Anticonditions	skyLightMin	skyLightMax	canSeeSky	
163	Hoothoot	1	common	9	1	26	Forest, Sky, Spooky		night	any		grounded	Natural, Treetop			8	15		
164	Noctowl	1	common	1	20	45	Forest, Sky, Spooky		night	any		grounded	Natural, Treetop			8	15		
165	Ledyba	1	common	10	2	27	Temperate	Freezing	day	clear		grounded	Natural, Treetop			8	15		
165	Ledyba	2	common	7	2	27	Floral Meadow		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
165	Ledyba	3	common	7	2	27	Aether		any	any		grounded	Natural, Treetop			8	15		
166	Ledian	1	common	2	18	39	Temperate	Freezing	night	clear		grounded	Natural, Treetop			8	15		
166	Ledian	2	common	3	18	39	Floral Meadow		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
166	Ledian	3	common	3	18	39	Aether		any	any		grounded	Natural, Treetop			8	15		
167	Spinarak	1	common	5.4	1	25	Forest, Jungle, Spooky	Freezing	night	clear		grounded	Natural, Treetop			8	15		
167	Spinarak	2	common	1.8	1	25	Overworld	Deep Dark	any	any		grounded	Natural			0	7		
167	Spinarak	3	common	5.4	1	25	Overworld	Deep Dark	any	any		grounded	Derelict	minY = 0				FALSE	
167	Spinarak	4	common	9	1	25			any	any		grounded	Webs, Natural			0	7		
167	Spinarak	5	common	9	1	25	Overworld		any	any		grounded	Mansion	minecraft:cobweb				FALSE	
168	Ariados	1	common	0.6	22	40	Forest, Jungle, Spooky	Freezing	night	clear		grounded	Natural, Treetop			8	15		
168	Ariados	2	common	0.2	22	40	Overworld	Deep Dark	any	any		grounded	Natural			0	7		
168	Ariados	3	common	0.6	22	40	Overworld	Deep Dark	any	any		grounded	Derelict	minY = 0				FALSE	
168	Ariados	4	common	1	22	40			any	any		grounded	Webs, Natural			0	7		
168	Ariados	5	common	1	22	40	Overworld		any	any		grounded	Mansion	minecraft:cobweb				FALSE	
169	Crobat	1	common	0.02	41	54	Forest, Swamp	Spooky, Freezing	night	clear		grounded	Natural			8	15		
169	Crobat	3	common	0.02	41	54	Forest, Swamp	Spooky, Freezing	any	any	Night x0.25	grounded	Natural			0	7		
169	Crobat	4	common	0.1	41	54	Overworld	Deep Dark, Forest, Swamp	any	any	Day x1.5	grounded	Natural			0	7		
169	Crobat	5	uncommon	0.08	41	54	Overworld	Deep Dark, Forest, Swamp	any	any	Day x1.5	grounded	Derelict					FALSE	
169	Crobat	6	common	0.1	41	54	Spooky		any	clear	Night x1.5	grounded	Natural			8	15		
169	Crobat	8	uncommon	0.08	41	54	Deep Dark		any	any		grounded	Natural			0	7		
169	Crobat	9	common	0.1	41	54	Aether		any	any		grounded	Natural			0	7		
170	Chinchou	1	common	5.4	8	33	Deep Ocean		any	any		submerged	Water	maxY = 48				TRUE	
170	Chinchou	2	common	9	8	33	Ocean		any	any	Lure0/1 x0.6	fishing						TRUE	
170	Chinchou	3	common	5.4	8	33	Deep Ocean		any	any		submerged	Water	maxY = 48		8	15	FALSE	
170	Chinchou	4	common	9	8	33	Ocean		any	any	Lure0/1 x0.6	fishing				8	15	FALSE	
170	Chinchou	5	common	5.4	8	33	Overworld		any	any		submerged	Water	structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13				FALSE	
170	Chinchou	6	common	9	8	33	Overworld		any	any	Lure0/1 x0.6	fishing		structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13				FALSE	
171	Lanturn	1	common	0.6	27	46	Deep Ocean		any	any		submerged	Water	maxY = 48				TRUE	
171	Lanturn	2	common	1	27	46	Ocean		any	any	Lure0/1 x0.6	fishing						TRUE	
171	Lanturn	3	common	0.6	27	46	Deep Ocean		any	any		submerged	Water	maxY = 48		8	15	FALSE	
171	Lanturn	4	common	1	27	46	Ocean		any	any	Lure0/1 x0.6	fishing				8	15	FALSE	
171	Lanturn	5	common	0.6	27	46	Overworld		any	any		submerged	Water	structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13				FALSE	
171	Lanturn	6	common	1	27	46	Overworld		any	any	Lure0/1 x0.6	fishing		structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13				FALSE	
172	Pichu	1	uncommon	5.04	1	21	Forest	Spooky	any	any	Storm x5	grounded	Natural			8	15		
173	Cleffa	1	uncommon	8.4	1	22	Dripstone		night	any		grounded	Natural			8	15		
173	Cleffa	2	uncommon	8.4	1	22	Aether, Dripstone		any	any		grounded	Natural			0	7		
173	Cleffa	3	uncommon	8.4	1	22	Hills		night	any		grounded	Natural			8	15		
173	Cleffa	4	uncommon	8.4	1	22	Magical	Spooky	night	any		grounded	Natural			8	15		
174	Igglybuff	1	common	9	1	21	Floral		any	any	Night x1.5	grounded	Natural			8	15		
174	Igglybuff	2	common	1.8	1	21	Plains	Floral	any	any	Night x1.5	grounded	Natural			8	15		
174	Igglybuff	3	common	9	1	21	Skyroot Grove, Skyroot Meadow		any	any		grounded	Natural			8	15		
177	Natu	1	common	5.4	7	32	Badlands, Plateau		day	any		grounded	Natural, Treetop			8	15		
177	Natu	3	common	90	7	32	Overworld		day	any		grounded	Trail_Ruins			8	15		
178	Xatu	1	common	0.6	25	47	Badlands, Plateau		day	any		grounded	Natural, Treetop			8	15		
178	Xatu	3	common	10	25	47	Overworld		day	any		grounded	Trail_Ruins			8	15		
179	Mareep	1	common	9	3	28	Highlands, Plains		any	any	Night x0.25, Storm x5	grounded	Natural			8	15		
180	Flaaffy	1	common	0.9	15	37	Highlands, Plains		any	any	Night x0.25, Storm x5	grounded	Natural			8	15		
181	Ampharos	1	common	0.1	30	51	Highlands, Plains		any	any	Night x0.25, Storm x5	grounded	Natural			8	15		
182	Bellossom	1	common	0.05	35	49	Floral		day	any		grounded	Natural			8	15		
182	Bellossom	2	common	0.01	35	49	Jungle		day	any		grounded	Natural			8	15		
182	Bellossom [Valencian]	3	common	0.01	35	49	Savanna, Tropical Island		day	any		grounded	Natural			8	15		
185	Sudowoodo	1	uncommon	0.96	16	41	Forest	Spooky	any	clear		grounded	Natural			8	15		
186	Politoed	1	common	0.025	34	50	Swamp		any	rain		grounded	Natural			8	15		
186	Politoed	2	common	0.025	34	50	Swamp		any	any		submerged	Water	minecraft:lily_pad				TRUE	
186	Politoed	3	common	0.015	34	50	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	rain		grounded	Natural	#minecraft:water		8	15		
186	Politoed	4	common	0.015	34	50	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	any		submerged	Water					TRUE	
186	Politoed	5	common	0.005	34	50	Lush		any	any		grounded	Natural		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
186	Politoed	6	common	0.015	34	50	Lush		any	any		submerged	Water		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
186	Politoed	7	common	0.025	34	50	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing	any	any		fishing						TRUE	
186	Politoed	8	common	0.025	34	50	Lush		any	any	Lure0/1 x0.6	fishing			structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
186	Politoed	9	common	0.025	34	50	Swamp		any	any		submerged	Water	minecraft:lily_pad		8	15	FALSE	
186	Politoed	10	common	0.015	34	50	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	any		submerged	Water			8	15	FALSE	
186	Politoed	11	common	0.025	34	50	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing	any	any		fishing				8	15	FALSE	
186	Politoed	12	common	0.005	34	50	Overworld	Lush	any	any		grounded	Natural	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
186	Politoed	13	common	0.015	34	50	Overworld	Lush	any	any		submerged	Water	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
186	Politoed	14	common	0.025	34	50	Overworld	Lush	any	any	Lure0/1 x0.6	fishing		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
190	Aipom	1	common	5.4	11	36	Jungle, Tropical Island		any	any		grounded	Natural, Treetop			8	15		
190	Aipom	2	common	5.4	11	36	Overworld		any	any		grounded		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
191	Sunkern	1	common	9.5	1	18	Sunflower Plains		any	any	Night x0.25	grounded	Natural	minecraft:sunflower		8	15		
191	Sunkern	2	common	9.5	1	18	Overworld	Sunflower Plains	any	any	Night x0.25	grounded	Natural	minecraft:sunflower		8	15		
191	Sunkern	3	common	5.7	1	18	Skyroot Grove, Skyroot Meadow		any	any		grounded	Natural			8	15		
191	Sunkern	4	common	9.5	1	18	Floral Meadow		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
192	Sunflora	1	common	0.5	13	43	Sunflower Plains		any	any	Night x0.25	grounded	Natural	minecraft:sunflower		8	15		
192	Sunflora	2	common	0.5	13	43	Overworld	Sunflower Plains	any	any	Night x0.25	grounded	Natural	minecraft:sunflower		8	15		
192	Sunflora	3	common	0.3	13	43	Skyroot Grove, Skyroot Meadow		any	any		grounded	Natural			8	15		
192	Sunflora	4	common	0.5	13	43	Floral Meadow		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
193	Yanma	1	uncommon	5.04	14	39	Freshwater	Freezing	day	clear		surface	Water			8	15		
193	Yanma	2	uncommon	1.68	14	39	Lush		any	any		surface	Water		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
193	Yanma	3	uncommon	1.68	14	39	Bumblezone		any	any		surface	Water		structure:#the_bumblezone:sempiternal_sanctums			any	
193	Yanma	4	uncommon	1.68	14	39	Overworld	Lush	any	any		surface	Water	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
193	Yanma	5	uncommon	5.04	14	39	Aether		any	any		surface	Water			8	15		
194	Wooper	1	common	9	1	21	Lush		any	any		grounded	Natural		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
194	Wooper	2	common	9	1	21	Lush		any	any		submerged	Water		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
194	Wooper	3	uncommon	8.4	1	21	Overworld	Lush	any	any		grounded	Natural	#minecraft:water, maxY = 62		0	7		
194	Wooper	4	uncommon	8.4	1	21	Overworld	Lush	any	any		submerged	Water	maxY = 62		0	7		
194	Wooper	5	common	1.8	1	21	Swamp	Muddy	any	rain		grounded	Natural			8	15		
194	Wooper	6	common	1.8	1	21	Swamp	Muddy	any	any		submerged	Water					TRUE	
194	Wooper	7	common	1.8	1	21	Swamp	Muddy	any	any		submerged	Water			8	15	FALSE	
194	Wooper	8	common	9	1	21	Aether, Overworld		any	any		fishing				0	7		
194	Wooper	9	common	1.8	1	21	Mushroom, Swamp	Muddy	any	any	Lure2 x3, Lure3 x5	fishing						TRUE	
194	Wooper	10	common	1.8	1	21	Mushroom, Swamp	Muddy	any	any	Lure2 x3, Lure3 x5	fishing				8	15	FALSE	
194	Wooper	11	common	9	1	21	Overworld	Lush	any	any		grounded	Natural	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
194	Wooper	12	common	9	1	21	Overworld	Lush	any	any		submerged	Water	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
194	Wooper	13	uncommon	8.4	1	21	Aether		any	any		grounded	Natural	#minecraft:water		0	7		
194	Wooper	14	uncommon	8.4	1	21	Aether		any	any		submerged	Water			0	7		wooper_pattern=heart
194	Wooper	15	uncommon	10	1	21	Aether, Overworld		any	any		fishing		bobber = love_ball		0	7		wooper_pattern=heart
194	Wooper	16	uncommon	2	1	21	Mushroom, Swamp	Muddy	any	any	Lure2 x3, Lure3 x5	fishing		bobber = love_ball				TRUE	wooper_pattern=heart
194	Wooper	17	common	20	1	21	Aether, Overworld		any	any		fishing		bait = love_sweet		0	7		wooper_pattern=heart
194	Wooper	18	common	20	1	21	Mushroom, Swamp	Muddy	any	any	Lure2 x3, Lure3 x5	fishing		bait = love_sweet				TRUE	wooper_pattern=heart
194	Wooper	19	uncommon	2	1	21	Mushroom, Swamp	Muddy	any	any	Lure2 x3, Lure3 x5	fishing		bobber = love_ball		8	15	FALSE	wooper_pattern=heart
194	Wooper	20	common	20	1	21	Mushroom, Swamp	Muddy	any	any	Lure2 x3, Lure3 x5	fishing		bait = love_sweet		8	15	FALSE	
194	Wooper [Paldean]	21	common	9	1	21	Muddy		any	any		grounded	Natural			8	15		
194	Wooper [Paldean]	22	common	9	1	21	Muddy		any	any		submerged	Water					TRUE	
194	Wooper [Paldean]	23	uncommon	8.4	1	21	Savanna		any	any		grounded	Natural	#minecraft:water		8	15		
194	Wooper [Paldean]	24	uncommon	8.4	1	21	Savanna		any	any		submerged	Water					TRUE	
194	Wooper [Paldean]	25	common	9	1	21	Muddy		any	any		fishing						TRUE	
194	Wooper [Paldean]	26	uncommon	8.4	1	21	Arid		any	any		fishing			minLureLevel = 1			TRUE	
194	Wooper [Paldean]	27	common	9	1	21	Arid		any	any	Lure1/2 x0.6	fishing		minLureLevel = 1				TRUE	
194	Wooper [Paldean]	28	common	9	1	21	Muddy		any	any		submerged	Water			8	15	FALSE	
194	Wooper [Paldean]	29	uncommon	8.4	1	21	Savanna		any	any		submerged	Water			8	15	FALSE	
194	Wooper [Paldean]	30	common	9	1	21	Muddy		any	any		fishing				8	15	FALSE	
194	Wooper [Paldean]	31	uncommon	8.4	1	21	Arid		any	any		fishing			minLureLevel = 1	8	15	FALSE	
194	Wooper [Paldean]	32	common	9	1	21	Arid		any	any	Lure1/2 x0.6	fishing		minLureLevel = 1		8	15	FALSE	
195	Quagsire	1	common	1	20	43	Lush		any	any		grounded	Natural		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
195	Quagsire	2	common	1	20	43	Lush		any	any		submerged	Water		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
195	Quagsire	3	uncommon	1.6	20	43	Overworld	Lush	any	any		grounded	Natural	#minecraft:water, maxY = 62		0	7		
195	Quagsire	4	uncommon	1.6	20	43	Overworld	Lush	any	any		submerged	Water	maxY = 62		0	7		
195	Quagsire	5	common	0.2	20	43	Swamp	Muddy	any	rain		grounded	Natural			8	15		
195	Quagsire	6	common	0.2	20	43	Swamp	Muddy	any	any		submerged	Water					TRUE	
195	Quagsire	7	common	1	20	43	Aether, Overworld	Lush	any	any		fishing				0	7		
195	Quagsire	8	common	0.2	20	43	Mushroom, Swamp	Muddy	any	any	Lure2 x3, Lure3 x5	fishing						TRUE	
195	Quagsire	9	common	0.2	20	43	Swamp	Muddy	any	any		submerged	Water			8	15	FALSE	
195	Quagsire	10	common	0.2	20	43	Mushroom, Swamp	Muddy	any	any	Lure2 x3, Lure3 x5	fishing				8	15	FALSE	
195	Quagsire	11	common	1	20	43	Overworld	Lush	any	any		grounded	Natural	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
195	Quagsire	12	common	1	20	43	Overworld	Lush	any	any		submerged	Water	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
195	Quagsire	13	uncommon	1.6	20	43	Aether		any	any		grounded	Natural	#minecraft:water		0	7		
195	Quagsire	14	uncommon	1.6	20	43	Aether		any	any		submerged	Water			0	7		
196	Espeon	1	ultra-rare	1.2	28	53	Hills		any	any		grounded	Natural			8	15		
196	Espeon	2	uncommon	0.02	28	53	Overworld		any	any		grounded	Natural, Urban			8	15		
196	Espeon	3	uncommon	0.02	28	53	Overworld		any	any		grounded	Natural	structure:#minecraft:village		8	15		
196	Espeon	4	uncommon	0.1	28	53	Overworld		any	any		grounded	Mansion					FALSE	
197	Umbreon	1	ultra-rare	1.2	28	53	Spooky		any	any		grounded	Natural			8	15		
197	Umbreon	2	uncommon	0.02	28	53	Overworld		any	any		grounded	Natural, Urban			8	15		
197	Umbreon	3	uncommon	0.02	28	53	Overworld		any	any		grounded	Natural	structure:#minecraft:village		8	15		
197	Umbreon	4	uncommon	0.1	28	53	Overworld		any	any		grounded	Mansion					FALSE	
198	Murkrow	1	common	9.5	16	41	Spooky		any	any	Night x1.5	grounded	Natural, Treetop			8	15		
198	Murkrow	3	common	5.7	16	41	Swamp		night	any		grounded	Natural, Treetop			8	15		
198	Murkrow	4	common	5.7	16	41	Taiga		night	any		grounded	Natural, Treetop			8	15		
198	Murkrow	7	common	9.5	16	41	Sky		night	any		grounded	Natural, Treetop			8	15		
199	Slowking	1	common	0.15	37	49	Beach		any	any		grounded	Natural			8	15		
199	Slowking	2	common	0.05	37	49	Beach		any	any	Lure2 x3, Lure3 x5	fishing						TRUE	
199	Slowking	3	common	0.05	37	49	Beach		any	any	Lure2 x3, Lure3 x5	fishing				8	15	FALSE	
199	Slowking [Galarian]	4	common	0.15	37	49	Mushroom Fields, Tropical Island		any	any		grounded	Natural	#minecraft:water		8	15		
199	Slowking [Galarian]	5	common	0.05	37	49	Mushroom Fields, Tropical Island		any	any	Lure2 x3, Lure3 x5	fishing						TRUE	
199	Slowking [Galarian]	6	common	0.05	37	49	Mushroom Fields, Tropical Island		any	any	Lure2 x3, Lure3 x5	fishing				8	15	FALSE	
200	Misdreavus	1	common	5.7	19	44	Spooky		any	any		grounded	Natural	maxLight = 7		1	7		
200	Misdreavus	2	common	1.9	19	44	Spooky, Swamp		any	any		grounded	Natural			0	7		
200	Misdreavus	3	common	5.7	19	44	Spooky, Swamp		any	any		grounded	Derelict					FALSE	
200	Misdreavus	4	common	5.7	19	44	Swamp		night	any		grounded	Natural			8	15		
200	Misdreavus	5	common	5.7	19	44	Nether Warped		any	any		grounded	Natural					any	
200	Misdreavus	6	common	5.7	19	44	Overworld		any	any		grounded		structure:#cobblemon:shipwreck_cove, minY = -41, maxY = 9, minY = -41, maxY = 9				FALSE	
202	Wobbuffet	1	rare	2.5	15	41	Overworld	Deep Dark	any	any		grounded	Natural			0	7		
203	Girafarig	1	common	5.4	21	46	Savanna		any	any	Night x0.25	grounded	Natural, Wild			8	15		
204	Pineco	1	common	9	4	29	Taiga		any	any		grounded	Natural, Treetop			8	15		
205	Forretress	1	common	1	31	47	Taiga		any	any		grounded	Natural			8	15		
205	Forretress [Shulker]	2	uncommon	2	31	47	End		any	any		grounded	Natural, End_City					any	
207	Gligar	1	uncommon	5.52	18	43	Badlands		night	any		grounded	Natural, Treetop			8	15		
207	Gligar	2	common	1.9	18	43	Nether Mountain		any	any		grounded	Natural					any	
208	Steelix	1	uncommon	0.48	34	51	Overworld	Deep Dark	any	any		grounded	Natural			0	7		
208	Steelix	2	uncommon	0.16	34	51	Nether Basalt		any	any		grounded	Natural					any	
209	Snubbull	1	common	5.4	5	30	Overworld	Freezing	any	any		grounded	Natural, Urban			8	15		
209	Snubbull	2	common	5.4	5	30	Overworld	Freezing	any	any		grounded	Natural	structure:#minecraft:village		8	15		
209	Snubbull	3	common	5.4	5	30	Overworld		any	any		grounded	Mansion					FALSE	
210	Granbull	1	common	0.6	23	45	Overworld	Freezing	any	any		grounded	Natural, Urban			8	15		
210	Granbull	2	common	0.6	23	45	Overworld	Freezing	any	any		grounded	Natural	structure:#minecraft:village		8	15		
210	Granbull	3	common	0.6	23	45	Overworld		any	any		grounded	Mansion					FALSE	
211	Qwilfish	1	uncommon	10	19	44	Lukewarm Ocean, Warm Ocean		any	any		submerged	Water		structure:minecraft:monument			TRUE	
211	Qwilfish	2	common	60	19	44	Ocean	Cold Ocean, Frozen Ocean	any	any		submerged	Water, Ocean_Monument					TRUE	
211	Qwilfish	3	uncommon	10	19	44	Lukewarm Ocean, Warm Ocean		any	any		fishing			minLureLevel = 1, structure:minecraft:monument			TRUE	
211	Qwilfish	4	common	10	19	44	Lukewarm Ocean, Warm Ocean		any	any	Lure1/2 x0.6	fishing		minLureLevel = 1	structure:minecraft:monument			TRUE	
211	Qwilfish	5	common	100	19	44	Ocean	Cold Ocean, Frozen Ocean	any	any	Lure0/1 x0.6	fishing		structure:minecraft:monument				TRUE	
211	Qwilfish	6	uncommon	10	19	44	Lukewarm Ocean, Warm Ocean		any	any		submerged	Water		structure:minecraft:monument	8	15	FALSE	
211	Qwilfish	7	common	60	19	44	Ocean	Cold Ocean, Frozen Ocean	any	any		submerged	Water, Ocean_Monument			8	15	FALSE	
211	Qwilfish	8	uncommon	10	19	44	Lukewarm Ocean, Warm Ocean		any	any		fishing			minLureLevel = 1, structure:minecraft:monument	8	15	FALSE	
211	Qwilfish	9	common	10	19	44	Lukewarm Ocean, Warm Ocean		any	any	Lure1/2 x0.6	fishing		minLureLevel = 1	structure:minecraft:monument	8	15	FALSE	
211	Qwilfish	10	common	100	19	44	Ocean	Cold Ocean, Frozen Ocean	any	any	Lure0/1 x0.6	fishing		structure:minecraft:monument		8	15	FALSE	
211	Qwilfish	11	uncommon	10	19	44	Overworld	Cold	any	any		submerged	Water	structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13				FALSE	
211	Qwilfish	12	uncommon	10	19	44	Overworld	Cold	any	any		fishing		structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13	minLureLevel = 1			FALSE	
211	Qwilfish	13	common	10	19	44	Overworld	Cold	any	any	Lure1/2 x0.6	fishing		minLureLevel = 1, structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13				FALSE	
211	Qwilfish [Hisuian]	14	uncommon	8.4	19	44	Cold Ocean		any	any		submerged	Water		structure:minecraft:monument			TRUE	
211	Qwilfish [Hisuian]	15	common	54	19	44	Cold Ocean, Frozen Ocean		any	any		submerged	Water, Ocean_Monument					TRUE	
211	Qwilfish [Hisuian]	16	uncommon	8.4	19	44	Cold Ocean		any	any		fishing			minLureLevel = 1, structure:minecraft:monument			TRUE	
211	Qwilfish [Hisuian]	17	common	9	19	44	Cold Ocean		any	any	Lure1/2 x0.6	fishing		minLureLevel = 1	structure:minecraft:monument			TRUE	
211	Qwilfish [Hisuian]	18	common	54	19	44	Cold Ocean, Frozen Ocean		any	any	Lure0/1 x0.6	fishing		structure:minecraft:monument				TRUE	
211	Qwilfish [Hisuian]	19	uncommon	8.4	19	44	Cold Ocean		any	any		submerged	Water		structure:minecraft:monument	8	15	FALSE	
211	Qwilfish [Hisuian]	20	common	54	19	44	Cold Ocean, Frozen Ocean		any	any		submerged	Water, Ocean_Monument			8	15	FALSE	
211	Qwilfish [Hisuian]	21	uncommon	8.4	19	44	Cold Ocean		any	any		fishing			minLureLevel = 1, structure:minecraft:monument	8	15	FALSE	
211	Qwilfish [Hisuian]	22	common	9	19	44	Cold Ocean		any	any	Lure1/2 x0.6	fishing		minLureLevel = 1	structure:minecraft:monument	8	15	FALSE	
211	Qwilfish [Hisuian]	23	common	54	19	44	Cold Ocean, Frozen Ocean		any	any	Lure0/1 x0.6	fishing		structure:minecraft:monument		8	15	FALSE	
211	Qwilfish [Hisuian]	24	uncommon	8.4	19	44	Cold		any	any		submerged	Water	structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13				FALSE	
211	Qwilfish [Hisuian]	25	uncommon	8.4	19	44	Cold		any	any		fishing		structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13	minLureLevel = 1			FALSE	
211	Qwilfish [Hisuian]	26	common	9	19	44	Cold		any	any	Lure1/2 x0.6	fishing		minLureLevel = 1, structure:cobblemon:shipwreck_coves/submerged_shipwreck_cove, minY = -60, maxY = 13				FALSE	
212	Scizor	1	uncommon	0.16	45	50	Jungle		day	any		grounded	Natural, Wild			8	15		
213	Shuckle	1	uncommon	10	16	51	Lush		any	any		grounded	Natural		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
213	Shuckle	2	uncommon	6	16	51	Lush		any	any		fishing			minLureLevel = 1, structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
213	Shuckle	3	common	2	16	51	Lush		any	any	Lure3 x3	fishing		minLureLevel = 1	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
213	Shuckle	4	uncommon	10	16	51	Overworld	Lush	any	any		grounded	Natural	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
213	Shuckle	5	uncommon	6	16	51	Overworld	Lush	any	any		fishing		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	minLureLevel = 1	0	7		
213	Shuckle	6	common	2	16	51	Overworld	Lush	any	any	Lure3 x3	fishing		minLureLevel = 1, structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
214	Heracross	1	rare	2	25	50	Forest	Freezing, Spooky	any	any	Twilight x5	grounded	Natural, Treetop, Wild			8	15		
214	Heracross	2	uncommon	2	25	50	Jungle, Tropical Island		any	any	Twilight x5	grounded	Natural, Treetop, Wild			8	15		
214	Heracross	3	rare	2	25	50	Skyroot Forest, Skyroot Woodland		any	any		grounded	Natural, Treetop			8	15		
214	Heracross	4	uncommon	10	25	50	Crystal Canyon		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
215	Sneasel	1	uncommon	9.2	18	43	Taiga		any	any	Day x0.25	grounded	Natural, Wild			8	15		
215	Sneasel [Hisuian]	2	uncommon	9.2	18	43	Mountain	Arid, Taiga	any	any	Night x0.25	grounded	Natural, Wild			8	15		
216	Teddiursa	1	common	1.8	8	33	Forest, Mountain, Taiga		any	any		grounded	Natural, Wild	minY = 48				any	
216	Teddiursa	2	common	1.8	8	33	Skyroot Forest, Skyroot Woodland		any	any		grounded	Natural					any	
216	Teddiursa	3	common	1.8	8	33	Crystal Canyon, Floral Meadow		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
217	Ursaring	1	common	0.19	30	50	Forest, Mountain, Taiga		any	any		grounded	Natural, Wild	minY = 48				any	
217	Ursaring	2	common	0.19	30	50	Skyroot Forest, Skyroot Woodland		any	any		grounded	Natural					any	
217	Ursaring	3	common	0.19	30	50	Crystal Canyon, Floral Meadow		any	any		grounded			structure:#the_bumblezone:sempiternal_sanctums			any	
218	Slugma	3	common	5.4	1	25	Nether Basalt, Nether Wasteland		any	any		grounded	Natural					any	
218	Slugma	4	common	9	1	25	Nether, Volcanic		any	any		surface	Lava					any	
218	Slugma	1	common	1.8	1	25	Overworld	Volcanic	any	any		surface	Lava					any	
218	Slugma	2	common	9	1	25	Volcanic		any	any		grounded	Natural	#minecraft:lava				any	
219	Magcargo	3	common	0.6	38	43	Nether Basalt, Nether Wasteland		any	any		grounded	Natural					any	
219	Magcargo	4	common	1	38	43	Nether, Volcanic		any	any		surface	Lava					any	
219	Magcargo	1	common	0.2	38	43	Overworld	Volcanic	any	any		surface	Lava					any	
219	Magcargo	2	common	1	38	43	Volcanic		any	any		grounded	Natural	#minecraft:lava				any	
220	Swinub	1	common	9	1	25	Tundra		any	any		grounded	Natural, Wild			8	15		
221	Piloswine	1	common	0.9	33	45	Tundra		any	any		grounded	Natural, Wild			8	15		
222	Corsola	1	uncommon	10	16	41	Warm Ocean		any	any		seafloor	Water					TRUE	
